                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.355,                 2.3729,                 1.6589,                0.39086,                 0.2904,                0.25056,                0.09855,                 2.2573,                  1.763,                 1.5918,             0.00036962,             0.00036962,             0.00036962
                      2,                 2.1522,                 1.7438,                 1.5076,                0.36968,                0.30339,                0.29936,                0.12466,                 2.1698,                  1.577,                  1.503,             0.00070333,             0.00070333,             0.00070333
                      3,                 2.1105,                 1.6555,                 1.4915,                0.37755,                0.33828,                0.32407,                0.13462,                 2.1096,                 1.5704,                 1.5044,              0.0010004,              0.0010004,              0.0010004
                      4,                 2.0802,                 1.5783,                 1.4715,                0.61405,                0.31741,                0.34747,                0.15218,                 2.1065,                 1.4822,                 1.4468,             0.00094602,             0.00094602,             0.00094602
                      5,                  2.037,                 1.5075,                 1.4417,                0.48632,                0.40262,                0.39435,                0.17006,                 2.0647,                 1.3731,                 1.4381,             0.00089102,             0.00089102,             0.00089102
                      6,                 2.0027,                 1.4529,                 1.4184,                0.55692,                0.42636,                0.43129,                0.19083,                 2.0353,                 1.3813,                 1.4201,             0.00083603,             0.00083603,             0.00083603
                      7,                 1.9971,                 1.4255,                 1.4082,                0.54795,                0.45527,                0.47403,                0.21377,                 2.0211,                 1.2976,                 1.4033,             0.00078103,             0.00078103,             0.00078103
                      8,                 1.9649,                 1.3841,                 1.3937,                0.64308,                0.47414,                0.50822,                0.23727,                 1.9843,                  1.294,                 1.3917,             0.00072604,             0.00072604,             0.00072604
                      9,                 1.9517,                  1.349,                 1.3782,                0.61277,                0.47665,                0.51876,                0.23746,                 1.9863,                  1.259,                 1.3827,             0.00067104,             0.00067104,             0.00067104
                     10,                 1.9293,                 1.3317,                 1.3721,                0.61819,                0.51885,                 0.5548,                0.26283,                 1.9706,                 1.2134,                 1.3703,             0.00061605,             0.00061605,             0.00061605
                     11,                 1.9326,                 1.2778,                 1.3796,                0.68032,                0.48992,                0.55672,                0.26274,                 1.9521,                 1.2131,                 1.3627,             0.00056105,             0.00056105,             0.00056105
                     12,                 1.9143,                  1.251,                 1.3695,                0.63539,                0.52727,                0.57668,                0.27966,                 1.9398,                 1.1949,                 1.3492,             0.00050606,             0.00050606,             0.00050606
                     13,                 1.8943,                 1.2184,                 1.3568,                0.70582,                0.52068,                0.58962,                0.28472,                 1.9274,                  1.177,                 1.3546,             0.00045107,             0.00045107,             0.00045107
                     14,                 1.8818,                 1.2011,                 1.3509,                0.69199,                0.53774,                0.61329,                 0.2896,                 1.9282,                 1.1478,                 1.3449,             0.00039607,             0.00039607,             0.00039607
                     15,                 1.8647,                  1.175,                 1.3411,                 0.6723,                0.57194,                0.61677,                0.29894,                 1.9195,                 1.1366,                 1.3503,             0.00034108,             0.00034108,             0.00034108
                     16,                   1.85,                 1.1528,                 1.3294,                0.69126,                0.55226,                0.62321,                0.30404,                 1.9131,                 1.1325,                 1.3363,             0.00028608,             0.00028608,             0.00028608
                     17,                 1.8334,                 1.1339,                 1.3192,                0.73676,                0.55149,                0.63352,                0.30873,                 1.9025,                 1.1154,                 1.3325,             0.00023109,             0.00023109,             0.00023109
                     18,                 1.8229,                 1.1176,                  1.312,                0.69538,                0.58518,                0.64249,                 0.3218,                  1.891,                 1.1022,                 1.3288,             0.00017609,             0.00017609,             0.00017609
                     19,                 1.8055,                  1.098,                 1.3069,                0.71506,                0.58938,                0.65697,                0.32721,                 1.8847,                 1.0881,                 1.3225,              0.0001211,              0.0001211,              0.0001211
                     20,                 1.7949,                 1.0868,                 1.2982,                0.70846,                0.58154,                 0.6591,                0.33216,                 1.8843,                  1.082,                 1.3239,             6.6105e-05,             6.6105e-05,             6.6105e-05
